dock_name,lastdock_abbrev,lastdock_lat,lastdock_lon,aterm_abbrev,aterm_lat,aterm_lon,,
Anacortes,ANA,48.507351,-122.677,ANA,48.507351,-122.677,,
Bainbridge Island,BBI,47.622339,-122.509617,BBI,47.622339,-122.509617,,
Bremerton,BRE,47.561847,-122.624089,BRE,47.561847,-122.624089,,
Clinton,CLI,47.9754,-122.349581,CLI,47.9754,-122.349581,,
Edmonds,EDM,47.813378,-122.385378,EDM,47.813378,-122.385378,,
Fauntleroy,FAU,47.5232,-122.3967,FAU,47.5232,-122.3967,,
Friday Harbor,FRH,48.535783,-123.013844,FRH,48.535783,-123.013844,,
Coupeville ,KEY,48.159008,-122.672603,KEY,48.159008,-122.672603,,
Kingston,KIN,47.794606,-122.494328,KIN,47.794606,-122.494328,,
Lopez Island,LOP,48.570928,-122.882764,LOP,48.570928,-122.882764,,
Mukilteo,MUK,47.949544,-122.304997,MUK,47.949544,-122.304997,,
Orcas Island,ORI,48.597333,-122.943494,ORI,48.597333,-122.943494,,
Seattle,P52,47.602501,-122.340472,P52,47.602501,-122.340472,,
Port Townsend,POT,48.110938,-122.75884,POT,48.110938,-122.75884,,
Point Defiance,PTD,47.306519,-122.514053,PTD,47.306519,-122.514053,,
Shaw Island,SHI,48.584792,-122.92965,SHI,48.584792,-122.92965,,
Sidney B.C.,SID,48.642,-123.395,SID,48.642,-123.395,,
Southworth,SOU,47.513064,-122.495742,SOU,47.513064,-122.495742,,
Tahlequah,TAH,47.331961,-122.507786,TAH,47.331961,-122.507786,,
Vashon Island,VAI,47.51095,-122.463639,VAI,47.51095,-122.463639,,